Version Number,File Name,LOC_Touched,NumberRevisions,NumberBugFix,LOC_Added,MAX_LOC_Added,Chg_Set_Size,Max_Chg_Set,AVG_Chg_Set,Avg_LOC_Added,Bugginess
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/sync/GroupSyncResultHandlerImpl.java,185,3,0,168,168,941,614,313.66666,56.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/sync/GroupPushResultHandlerImpl.java,170,2,0,162,162,928,614,464.0,81.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/sync/AbstractSyncopeResultHandler.java,24,4,0,8,6,964,614,241.0,2.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/sync/AbstractSyncResultHandler.java,112,5,0,23,12,966,614,193.2,4.6,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/sync/AbstractPushResultHandler.java,41,4,0,4,3,943,614,235.75,1.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/sync/AbstractProvisioningJob.java,105,5,0,19,14,997,614,199.4,3.8,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/propagation/PropagationManagerImpl.java,387,3,0,4,3,951,614,317.0,1.3333334,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/propagation/LDAPMembershipPropagationActions.java,27,3,0,0,0,951,614,317.0,0.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/propagation/AbstractPropagationTaskExecutor.java,24,2,0,0,0,928,614,464.0,0.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/notification/NotificationManagerImpl.java,62,4,0,9,8,1009,614,252.25,2.25,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/UserDataBinderImpl.java,116,2,0,48,48,928,614,464.0,24.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/TaskDataBinderImpl.java,42,2,0,7,7,928,614,464.0,3.5,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/ResourceDataBinderImpl.java,88,4,0,18,18,994,614,248.5,4.5,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/PolicyDataBinderImpl.java,41,2,0,1,1,928,614,464.0,0.5,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/NotificationDataBinderImpl.java,2,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/GroupDataBinderImpl.java,595,2,0,415,411,928,614,464.0,207.5,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/AbstractAttributableDataBinder.java,131,4,0,28,28,956,614,239.0,7.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/cache/MemoryVirAttrCache.java,18,2,0,0,0,928,614,464.0,0.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/VirAttrHandler.java,37,2,0,0,0,928,614,464.0,0.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/DefaultUserProvisioningManager.java,70,3,0,3,2,951,614,317.0,1.0,false
1.2.2,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/DefaultGroupProvisioningManager.java,269,3,0,225,222,951,614,317.0,75.0,false
1.2.2,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/sync/SyncActions.java,56,2,0,3,3,627,614,313.5,1.5,false
1.2.2,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/sync/PushActions.java,20,2,0,2,2,627,614,313.5,1.0,false
1.2.2,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/sync/ProvisioningResult.java,9,2,0,1,1,627,614,313.5,0.5,false
1.2.2,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/sync/ProvisioningProfile.java,1,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/sync/GroupSyncResultHandler.java,26,1,0,26,26,614,614,614.0,26.0,false
1.2.2,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/sync/GroupPushResultHandler.java,23,1,0,23,23,614,614,614.0,23.0,false
1.2.2,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/propagation/PropagationManager.java,151,3,0,2,1,951,614,317.0,0.6666667,false
1.2.2,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/notification/NotificationManager.java,3,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/job/TaskJob.java,1,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/data/GroupDataBinder.java,36,1,0,36,36,614,614,614.0,36.0,false
1.2.2,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/cache/VirAttrCacheValue.java,6,2,0,1,1,637,614,318.5,0.5,false
1.2.2,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/cache/VirAttrCache.java,6,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/WorkflowResult.java,3,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/GroupProvisioningManager.java,41,2,0,38,37,928,614,464.0,19.0,false
1.2.2,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/Connector.java,4,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/AttributableTransformer.java,1,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/relationship/UserTest.java,3,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/relationship/ResourceTest.java,16,2,0,0,0,618,614,309.0,0.0,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/relationship/MembershipTest.java,8,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/relationship/GroupTest.java,186,2,0,145,145,928,614,464.0,72.5,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/relationship/EntitlementTest.java,7,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/relationship/AttributableSearchTest.java,17,2,0,1,1,928,614,464.0,0.5,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/relationship/AttrTest.java,17,2,0,0,0,928,614,464.0,0.0,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/entity/VirSchemaTest.java,6,2,0,0,0,928,614,464.0,0.0,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/entity/VirAttrTest.java,10,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/entity/UserTest.java,42,3,0,6,6,949,614,316.33334,2.0,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/entity/ResourceTest.java,4,1,0,0,0,614,614,614.0,0.0,false
1.2.2,core/persistence-jpa/src/test/java/org/apache/syncope/core/persistence/jpa/entity/PolicyTest.java,31,3,0,0,0,949,614,316.33334,0.0,false
